"정류소번호","정류소명","X좌표","Y좌표"
"01001","종로2가사거리","126.9877862","37.56976415"
"01002","창경궁.서울대학교병원","126.9965202","37.57917886"
"01003","명륜3가.성대입구","126.9982902","37.58270882"
"01004","종로2가.삼일교","126.9875072","37.56858223"
"01005","혜화동로터리.여운형활동터","127.0016943","37.58622998"
"01006","서대문역사거리","126.9669608","37.56620752"
"01007","서울역사박물관.경희궁앞","126.9704199","37.56909809"
"01008","서울역사박물관.경희궁앞","126.970442","37.56933602"
"01009","광화문","126.9752406","37.57005075"
"01010","광화문","126.9780909","37.57029571"
"01011","종로1가","126.981","37.570072"
"01012","종로1가","126.9813906","37.57026661"
"01013","종로2가","126.9855411","37.57008725"
"01014","종로2가","126.986254","37.57026795"
"01015","종로3가.탑골공원","126.989569","37.57018754"
"01016","종로3가.탑골공원","126.9899683","37.57038869"
"01017","종로4가.종묘","126.9947287","37.57041688"
"01018","종로4가.종묘","126.995277","37.57060029"
"01019","종로5가.광장시장","126.9988533","37.57071571"
"01020","종로5가.광장시장","126.9993199","37.57090764"
"01021","종로6가.동대문종합시장","127.0034688","37.57091778"
"01022","종로6가.동대문종합시장","127.0057094","37.57115181"
"01023","동대문역.흥인지문","127.0134621","37.57228008"
"01037","동대문(흥인지문)","127.0124928","37.57216719"
"01041","동묘앞","127.017533","37.573432"
"01044","동묘앞","127.019639","37.57430372"
"01101","경기상고","126.9694326","37.5875739"
"01102","신교동","126.970341","37.58330295"
"01103","경기상고","126.9696701","37.58717108"
"01104","경복고교","126.9710437","37.58511248"
"01105","청운중학교","126.9725944","37.58790085"
"01106","자하문고개.윤동주문학관","126.9671282","37.59219358"
"01107","자하문고개.윤동주문학관","126.9671677","37.59225741"
"01108","청운중학교","126.9724615","37.58812866"
"01109","경복고교","126.971148","37.58504593"
"01110","통인시장종로구보건소","126.9711089","37.58033173"
"01111","통인시장종로구보건소","126.971244","37.58048929"
"01112","효자동","126.9705348","37.58308184"
"01113","사직단.어린이도서관","126.9680206","37.57511252"
"01114","사직동주민센터","126.9713179","37.57609006"
"01115","경복궁역","126.9722922","37.57688877"
"01116","경복궁역","126.9721844","37.57764064"
"01117","경복궁","126.9787905","37.57577149"
"01118","KT광화문지사","126.9772023","37.5724045"
